applicable,audit_file,calculation_reason,denominator,metric_name,numerator,observation_value,patient,question_id,question_number,reason_not_applicable,system,turn_id
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,125911,125911,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,hippo_rag,8c4ecc0c-03d7-446c-94bb-cf4514f713d2
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,126152,126152,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,graph_rag,8e7caa6b-ccb9-4353-a246-44d5cc5ded3b
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,8,8,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,graph_rag,8e7caa6b-ccb9-4353-a246-44d5cc5ded3b
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,126152,126152,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,graph_rag,8e7caa6b-ccb9-4353-a246-44d5cc5ded3b
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,126160,126160,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,graph_rag,8e7caa6b-ccb9-4353-a246-44d5cc5ded3b
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,126152,126152,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,graph_rag,8e7caa6b-ccb9-4353-a246-44d5cc5ded3b
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,4925,4925,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,long_context,bc2757ce-6de2-4bc0-9b7d-a118e135bea9
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,10,10,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,long_context,bc2757ce-6de2-4bc0-9b7d-a118e135bea9
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,4925,4925,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,long_context,bc2757ce-6de2-4bc0-9b7d-a118e135bea9
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,4935,4935,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,long_context,bc2757ce-6de2-4bc0-9b7d-a118e135bea9
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,4925,4925,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,long_context,bc2757ce-6de2-4bc0-9b7d-a118e135bea9
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,125657,125657,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,csm,d947f258-73aa-4012-87e1-7706d5a305ee
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,35,35,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,csm,d947f258-73aa-4012-87e1-7706d5a305ee
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,125657,125657,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,csm,d947f258-73aa-4012-87e1-7706d5a305ee
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,125692,125692,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,csm,d947f258-73aa-4012-87e1-7706d5a305ee
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,125657,125657,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,csm,d947f258-73aa-4012-87e1-7706d5a305ee
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,15577,15577,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,hybrid_rag,21cfa5df-cf09-486b-b215-66e9d68f04ea
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,33,33,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,hybrid_rag,21cfa5df-cf09-486b-b215-66e9d68f04ea
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,15577,15577,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,hybrid_rag,21cfa5df-cf09-486b-b215-66e9d68f04ea
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,15610,15610,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,hybrid_rag,21cfa5df-cf09-486b-b215-66e9d68f04ea
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,15577,15577,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,hybrid_rag,21cfa5df-cf09-486b-b215-66e9d68f04ea
