metric_name,comparison,paired_sample_count,mean_difference,median_difference,effect_size,raw_p_value,adjusted_p_value,ci_low,ci_high,test_result,reason
faithfulness,csm_v4_vs_rolling_summary,57,0.024926900584795315,0.0,0.12294011516579803,0.8238029479980469,0.9179011295581686,-0.02785453216374269,0.07701937134502923,computed,NULL
faithfulness,csm_v4_vs_dense_rag,59,0.012288135593220343,0.0,0.06007282810754078,0.6900379657745361,0.7857921328313551,-0.04312146892655366,0.06751412429378532,computed,NULL
faithfulness,csm_v4_vs_hybrid_rag,59,-0.003107344632768364,0.0,-0.01634873221122239,0.6476058959960938,0.7557838560496173,-0.05028954802259887,0.04584392655367231,computed,NULL
faithfulness,csm_v4_vs_graph_rag,60,-0.034583333333333334,0.0,-0.23754482960211476,0.237884521484375,0.3406822648405038,-0.07326736111111111,-0.00012500000000001534,computed,NULL
faithfulness,csm_v4_vs_hippo_rag,59,-0.004872881355932205,0.0,-0.028592550814596364,0.6476058959960938,0.7540816401576137,-0.04655014124293787,0.04060734463276836,computed,NULL
faithfulness,csm_v4_vs_csm,59,0.046933010492332526,0.0,0.23426637794839292,0.21003961563110352,0.3076217600036275,0.0010416666666666658,0.09843876109765941,computed,NULL
faithfulness,csm_v4_vs_csm_v3,56,0.10833333333333336,0.0,0.493680234670751,0.0005335211753845215,0.0015072702058677465,0.051622023809523805,0.16386160714285714,computed,NULL
groundedness,csm_v4_vs_long_context,52,0.14142628205128205,0.0,0.47618821799902256,0.004077315330505371,0.00889439673363408,0.06509415064102564,0.23218149038461539,computed,NULL
groundedness,csm_v4_vs_rolling_summary,57,0.024926900584795315,0.0,0.12294011516579803,0.8238029479980469,0.9159271486343876,-0.02785453216374269,0.07701937134502923,computed,NULL
groundedness,csm_v4_vs_dense_rag,59,0.012288135593220343,0.0,0.06007282810754078,0.6900379657745361,0.7840651171548026,-0.04312146892655366,0.06751412429378532,computed,NULL
groundedness,csm_v4_vs_hybrid_rag,59,-0.003107344632768364,0.0,-0.01634873221122239,0.6476058959960938,0.7523870746741134,-0.05028954802259887,0.04584392655367231,computed,NULL
groundedness,csm_v4_vs_graph_rag,60,-0.034583333333333334,0.0,-0.23754482960211476,0.237884521484375,0.3397411536116626,-0.07326736111111111,-0.00012500000000001534,computed,NULL
groundedness,csm_v4_vs_hippo_rag,59,-0.004872881355932205,0.0,-0.028592550814596364,0.6476058959960938,0.7507001081389697,-0.04655014124293787,0.04060734463276836,computed,NULL
groundedness,csm_v4_vs_csm,59,0.046933010492332526,0.0,0.23426637794839292,0.21003961563110352,0.3058886796655789,0.0010416666666666658,0.09843876109765941,computed,NULL
groundedness,csm_v4_vs_csm_v3,56,0.10833333333333336,0.0,0.493680234670751,0.0005335211753845215,0.0014909753928313385,0.051622023809523805,0.16386160714285714,computed,NULL
