adjusted_p_value,ci_high,ci_low,comparison,effect_size,mean_difference,median_difference,metric_name,paired_sample_count,raw_p_value,reason,test_result
0.6856496710526315,0.014583333333333337,-0.14375,csm_vs_hippo_rag,-0.355619015707836,-0.06458333333333333,0.0,groundedness,20,0.453125,,computed
0.23565573770491804,0.3,0.025,csm_vs_long_context,0.4566580617550222,0.15,-0.0,hallucination_rate,20,0.125,,computed
0.7467532467532467,0.0,-0.2,csm_vs_rolling_summary,-0.3065225015493054,-0.075,-0.0,hallucination_rate,20,0.5,,computed
1.0,0.10833333333333332,-0.09166666666666667,csm_vs_dense_rag,0.03686576197903288,0.008333333333333331,-0.0,hallucination_rate,20,1.0,,computed
1.0,0.05,-0.15,csm_vs_hybrid_rag,-0.13923991921155665,-0.03333333333333334,-0.0,hallucination_rate,20,1.0,,computed
0.7371794871794872,0.0,-0.2,csm_vs_graph_rag,-0.3065225015493054,-0.075,-0.0,hallucination_rate,20,0.5,,computed
0.7278481012658228,0.0,-0.2,csm_vs_hippo_rag,-0.3065225015493054,-0.075,-0.0,hallucination_rate,20,0.5,,computed
1.0,0.11025695658508157,-0.0026539432789432736,csm_vs_long_context,0.36236820144448145,0.04443230380730381,0.0,lineage_citation_f1,16,1.0,,computed
0.07774939903846154,0.020982987171067648,-0.1499975884109011,csm_vs_rolling_summary,-0.33315078269542275,-0.06615391832110097,-0.0222222222222222,lineage_citation_f1,19,0.03515625,,computed
0.02123260498046875,-0.03650440203071791,-0.2351190476190476,csm_vs_dense_rag,-0.580987190313448,-0.1333493991388728,-0.1111111111111111,lineage_citation_f1,19,0.00738525390625,,computed
7.01904296875e-05,-0.16463162826165925,-0.32672228957832666,csm_vs_hybrid_rag,-1.2206575787875564,-0.2408230915970854,-0.1818181818181818,lineage_citation_f1,19,1.52587890625e-05,,computed
6.749079777644231e-05,-0.19508583545298316,-0.3327575633666465,csm_vs_graph_rag,-1.515940564444629,-0.2630391632513874,-0.28571428571428575,lineage_citation_f1,19,1.52587890625e-05,,computed
0.00012534005301339285,-0.16562323168747323,-0.3257864276246629,csm_vs_hippo_rag,-1.264363863584941,-0.24024676733655062,-0.2,lineage_citation_f1,19,3.0517578125e-05,,computed
,0.0,-0.5,csm_vs_long_context,-0.7071067811865475,-0.25,-0.25,memory_update_accuracy,2,,,computed
,0.0,-0.5,csm_vs_rolling_summary,-0.7071067811865475,-0.25,-0.25,memory_update_accuracy,2,,,computed
1.0,1.0,-0.5,csm_vs_dense_rag,0.23570226039551587,0.25,0.25,memory_update_accuracy,2,1.0,,computed
1.0,1.0,-0.5,csm_vs_hybrid_rag,0.23570226039551587,0.25,0.25,memory_update_accuracy,2,1.0,,computed
1.0,1.0,-0.5,csm_vs_graph_rag,0.23570226039551587,0.25,0.25,memory_update_accuracy,2,1.0,,computed
,0.0,-0.5,csm_vs_hippo_rag,-0.7071067811865475,-0.25,-0.25,memory_update_accuracy,2,,,computed
,,,csm_vs_long_context,,,,offline_csm_update_cost,0,,insufficient_paired_observations,N/A
,,,csm_vs_rolling_summary,,,,offline_csm_update_cost,0,,insufficient_paired_observations,N/A
,,,csm_vs_dense_rag,,,,offline_csm_update_cost,0,,insufficient_paired_observations,N/A
,,,csm_vs_hybrid_rag,,,,offline_csm_update_cost,0,,insufficient_paired_observations,N/A
,,,csm_vs_graph_rag,,,,offline_csm_update_cost,0,,insufficient_paired_observations,N/A
,,,csm_vs_hippo_rag,,,,offline_csm_update_cost,0,,insufficient_paired_observations,N/A
0.0002193450927734375,-0.00019749825000000003,-0.000256647,csm_vs_long_context,-3.3355995563565566,-0.00022553999999999999,-0.00021157499999999998,online_query_cost,20,1.9073486328125e-06,,computed
0.030201382107204862,-3.900750000000025e-06,-8.352862500000001e-05,csm_vs_rolling_summary,-0.4970832814990688,-4.5547500000000004e-05,-4.0724999999999973e-05,online_query_cost,20,0.01181793212890625,,computed
0.029544830322265625,-4.226925000000004e-05,-0.00015231975,csm_vs_dense_rag,-0.7095619486275135,-0.00010014750000000001,-0.00012734999999999998,online_query_cost,20,0.01181793212890625,,computed
0.02891621691115359,-4.3332187500000014e-05,-0.00013368525000000004,csm_vs_hybrid_rag,-0.8277459644893577,-8.841e-05,-9.48e-05,online_query_cost,20,0.01181793212890625,,computed
0.0014463067054748535,-4.939875000000005e-05,-0.0001330891875,csm_vs_graph_rag,-0.8820040613666029,-9.002250000000002e-05,-7.935e-05,online_query_cost,20,0.0004024505615234375,,computed
0.008231533898247613,-3.220987500000004e-05,-9.983625000000003e-05,csm_vs_hippo_rag,-0.8551020284426166,-6.850500000000002e-05,-8.647499999999997e-05,online_query_cost,20,0.0025768280029296875,,computed
0.00010967254638671875,-104658.94875,-110141.2625,csm_vs_long_context,-16.09839805090119,-107490.4,-108307.5,operational_wall_clock_latency_ms,20,1.9073486328125e-06,,computed
7.311503092447917e-05,-86664.79125000001,-101411.62125,csm_vs_rolling_summary,-5.273379038407557,-93820.35,-93607.5,operational_wall_clock_latency_ms,20,1.9073486328125e-06,,computed
5.4836273193359375e-05,-51466.72625,-66352.62125,csm_vs_dense_rag,-3.2674476570014517,-58570.9,-59695.5,operational_wall_clock_latency_ms,20,1.9073486328125e-06,,computed
0.6811310263241038,-12499.188750000048,-37614.815,csm_vs_hybrid_rag,-0.8697712855573401,-25459.05,-1058.5,operational_wall_clock_latency_ms,20,0.5034446716308594,,computed
0.6732108981110329,2645.11625,328.80625,csm_vs_graph_rag,0.5001030817008604,1416.9,356.0,operational_wall_clock_latency_ms,20,0.5034446716308594,,computed
0.0898073304374263,2250.74125,809.5575,csm_vs_hippo_rag,0.8173119535204244,1476.8,713.5,operational_wall_clock_latency_ms,20,0.04138946533203125,,computed
4.38690185546875e-05,-104631.54125000001,-110114.075,csm_vs_long_context,-16.09935335513128,-107463.3,-108284.0,p95_latency,20,1.9073486328125e-06,,computed
3.6557515462239586e-05,-86639.76625,-101386.20749999999,csm_vs_rolling_summary,-5.272122640107233,-93795.25,-93583.5,p95_latency,20,1.9073486328125e-06,,computed
3.133501325334821e-05,-51463.356250000004,-66347.64125,csm_vs_dense_rag,-3.267323555289275,-58566.6,-59687.0,p95_latency,20,1.9073486328125e-06,,computed
